X1,X2,X3,X4,X5,X6
2,0.95765,0,-0.5,0.077182,50.569
4,0.92942,0,-0.5,0.082052,47.713
6,0.92868,0,-0.5,0.051187,111.36
8,0.91919,0,-0.5,0.045019,125.15
10,0.91758,0,-0.5,0.032365,183.49
12,0.91463,0,-0.5,0.029206,365.04
14,0.91646,0,-0.5,0.025465,596.49
2,0.96131,0,-0.5,0.069477,62.687
4,0.93383,0,-0.5,0.077133,62.2
6,0.93059,0,-0.5,0.051438,112.23
8,0.92787,0,-0.5,0.040121,182.79
10,0.92962,0,-0.5,0.029733,282.99
12,0.92528,0,-0.5,0.025472,342.75
14,0.92708,0,-0.5,0.022717,671.54
2,0.96311,0,-0.5,0.066892,61.459
4,0.94613,0,-0.5,0.062893,76.265
6,0.93921,0,-0.5,0.043752,145.19
8,0.93842,0,-0.5,0.033333,265.79
10,0.93542,0,-0.5,0.026877,291.87
12,0.93712,0,-0.5,0.021487,529.66
14,0.93656,0,-0.5,0.019098,644.26
2,0.96381,0,-0.5,0.064393,59.844
4,0.94977,0,-0.5,0.057719,79.799
6,0.94935,0,-0.5,0.037021,177.42
8,0.94994,0,-0.5,0.027561,259.43
10,0.94904,0,-0.5,0.020455,519.04
12,0.94508,0,-0.5,0.019437,609.81
14,0.94735,0,-0.5,0.016049,631.45
2,0.96478,0,-0.5,0.064058,63.069
4,0.95951,0,-0.5,0.046548,112.98
6,0.95964,0,-0.5,0.029347,228.17
8,0.95909,0,-0.5,0.022709,424.73
10,0.95987,0,-0.5,0.016684,813.72
12,0.95798,0,-0.5,0.014241,712.92
14,0.95929,0,-0.5,0.011765,990.23
2,0.95217,0.2,-0.5,0.085175,60.8
4,0.90891,0.2,-0.5,0.10225,52.828
6,0.87585,0.2,-0.5,0.086947,60.146
8,0.86373,0.2,-0.5,0.073106,84.898
10,0.83832,0.2,-0.5,0.062499,107.76
12,0.83941,0.2,-0.5,0.053059,118.19
14,0.83769,0.2,-0.5,0.047,153.45
2,0.94231,0.2,-0.5,0.10021,51.859
4,0.92382,0.2,-0.5,0.086038,70.237
6,0.85523,0.2,-0.5,0.10053,52.001
8,0.85247,0.2,-0.5,0.079313,71.6
10,0.84849,0.2,-0.5,0.059642,118.5
12,0.84652,0.2,-0.5,0.050766,138.07
14,0.84431,0.2,-0.5,0.044361,190.11
2,0.94047,0.2,-0.5,0.1052,47.404
4,0.91579,0.2,-0.5,0.093892,63.196
6,0.85934,0.2,-0.5,0.097823,53.112
8,0.86589,0.2,-0.5,0.072193,90.527
10,0.85839,0.2,-0.5,0.054484,137.48
12,0.8553,0.2,-0.5,0.049251,152.9
14,0.86,0.2,-0.5,0.041098,215.91
2,0.94184,0.2,-0.5,0.10257,46.763
4,0.90091,0.2,-0.5,0.11004,45.306
6,0.8978,0.2,-0.5,0.073079,82.489
8,0.89531,0.2,-0.5,0.055615,140.51
10,0.86897,0.2,-0.5,0.051214,143.15
12,0.86869,0.2,-0.5,0.045117,188.13
14,0.86692,0.2,-0.5,0.040541,209.63
2,0.93482,0.2,-0.5,0.11349,41.682
4,0.90903,0.2,-0.5,0.10178,53.621
6,0.87874,0.2,-0.5,0.085192,68.258
8,0.8797,0.2,-0.5,0.06471,100.73
10,0.8787,0.2,-0.5,0.048512,136.78
12,0.87853,0.2,-0.5,0.040681,201.49
14,0.87884,0.2,-0.5,0.036016,240.51
2,0.94012,0.2,-0.5,0.10461,47.342
4,0.91337,0.2,-0.5,0.09779,55.143
6,0.89326,0.2,-0.5,0.076562,79.757
8,0.88928,0.2,-0.5,0.058673,136.22
10,0.88885,0.2,-0.5,0.043045,218.11
12,0.88878,0.2,-0.5,0.037287,294.96
14,0.88373,0.2,-0.5,0.034915,295.37
2,0.94298,0.2,-0.5,0.10011,50.051
4,0.90466,0.2,-0.5,0.10646,51.738
